CropID,Agri / Horti Category,Sub-Category,Crop Name,Botanical Name,Produces (MF List),Requires (MF List),Suppresses (MF List),Key Light MF (Spectral Zone),Key Soil MF (Physical+Bio),Key Water MF (Moisture+RF),Validated Insight,Companion Crops (AP Recommended),Ontology Design Note (Rule / Flag)
CRP0013,Agricultural,Pulses,Red Gram (Pigeon Pea),Cajanus cajan,"MF1,MF3L,MF16,MF17,MF18,MF19,MF20,MF23,MF24,MF25,MF27,MF28,MF29","MF3L,MF13","MF2,MF12,MF14",MF1 (partial shade 1–2m tier),"MF16,MF23,MF24,MF27,MF28,MF29",MF9,"Red Gram is the BACKBONE companion crop of AP natural farming. It simultaneously produces shade (MF1), N-fixation (MF23), P-cycling (MF29), deep biopore roots (MF16), surface mulch (MF17), and beneficial insect habitat (MF19+MF20). The cooling shade it produces RETAINS the microclimate and soil moisture — not traps. BNF rate: 100–200 kg N/ha/yr. Biopore legacy persists 2–3 seasons. Must be in every polyculture system design.","Sorghum (MF3G companion), Groundnut, Sesame, Castor (border)",KEYSTONE companion plant for AP. IF Red Gram PRESENT THEN MF23+MF16+MF27 active → satisfies N-requirement for 1–2 companion cereals without external input. Allelopathy from Castor nearby — maintain >2m spacing.
CRP0014,Agricultural,Pulses,Black Gram (Urad),Vigna mungo,"MF3G,MF16,MF17,MF19,MF20,MF23,MF24,MF25,MF27,MF28,MF29","MF3G,MF13","MF2,MF14",MF3G (low canopy; 0–1m ground zone),"MF16,MF23,MF27","MF9,MF14",Short-duration N-fixer (60–70 days) — ideal relay or short-season intercrop. Ground-zone crop (MF3G) means inter-row soil is EXPOSED if plant spacing is wide — soil microbiome protection needed in gaps. Dense planting at recommended spacing naturally creates ground cover and reduces MF3G exposure. Excellent for paddy-pulse rotation: fixes N immediately after paddy harvest into residue-covered soil.,"Paddy (relay), Maize (intercrop), Castor (border row)",Short duration flag: N-benefit is delivered quickly (45–60 days). Time companion crop nutrient demand to peak at 30–45 days after Black Gram establishment.
CRP0015,Agricultural,Pulses,Green Gram (Moong),Vigna radiata,"MF3G,MF16,MF17,MF19,MF20,MF23,MF24,MF25,MF27,MF28,MF29","MF3G,MF13","MF2,MF14",MF3G (0–1m ground zone),"MF16,MF23,MF27","MF9,MF14",Fastest N-fixer for AP conditions (50–60 days). Excellent as green manure — incorporate at flowering stage delivers high-N biomass with low C:N ratio (<15) → rapid mineralisation → N available to next crop within 2–3 weeks. Relay cropping with paddy is the most efficient MF23 delivery system for rice fields. Short canopy means ground protection requires dense planting.,"Paddy (relay after harvest), Maize (intercrop), Sugarcane (ratoon intercrop)",Green manure flag: IF incorporated at flowering THEN C:N ~12 → N mineralisation in 2–3 weeks. IF left to mature grain THEN C:N rises to 20+ → slower N release. Time management critical.
CRP0016,Agricultural,Pulses,Horse Gram,Macrotyloma uniflorum,"MF3G,MF16,MF17,MF19,MF20,MF23,MF24,MF25,MF27,MF28,MF29","MF3G,MF13","MF2,MF6,MF8",MF3G (0–1m; very short canopy),"MF16,MF23,MF27",MF10,"AP's most drought-hardy pulse. SUPPRESSES MF8 (evaporation reduction) — meaning it is adapted to high evaporative conditions and does not itself reduce soil evaporation significantly. This is unusual among pulses. Grows on degraded Alfisols (red soils, pH 5.5–6.5) where other pulses fail. Root exudates improve severely degraded soils. Most important pulse for dryland soil rehabilitation.","Jowar (intercrop), Castor (border), Neem (windbreak)",Soil rehabilitation flag: MF27+MF23+MF16 combination makes Horse Gram uniquely valuable for degraded soil restoration. Sequence: Horse Gram yr1 → Red Gram yr2 → Groundnut yr3 for full soil recovery.
CRP0017,Agricultural,Pulses,Cowpea,Vigna unguiculata,"MF3G,MF16,MF17,MF18,MF19,MF23,MF24,MF25,MF27","MF3G,MF13","MF2,MF14",MF3G (0–1m; spreading ground cover),"MF16,MF23,MF27","MF9,MF14","Dual-purpose N-fixer and living mulch. Dense spreading habit naturally PRODUCES MF18 (weed suppression) — one of the few annual crops that physically occupies all ground space and eliminates weeds without intervention. Fast N-fixation (45 days to significant nodulation). Most versatile intercrop companion for AP — works under maize, with sorghum, in coconut gardens. Heat tolerant — thrives in MF7 zones where other legumes fail.","Maize (classic Three Sisters variant), Sorghum, Coconut garden floor","Living mulch flag: Cowpea at >80% ground cover suppresses weeds + fixes N + protects soil microbiome simultaneously. Optimal spacing: 30cm within row, 45cm between rows for maximum ground cover."
CRP0023,Agricultural,Oilseeds,Groundnut,Arachis hypogaea,"MF3G,MF8,MF16,MF17,MF18,MF19,MF25,MF27","MF3G,MF10,MF13","MF2,MF6,MF14",MF3G (ground-zone; pegging into soil),"MF16,MF17,MF25,MF27","MF8,MF9","SUPPRESSES MF8 — meaning Groundnut itself increases soil evaporation (its open canopy does not reduce radiation receipt). But its pegging action physically loosens topsoil and creates MF16 biopores in the top 10–15cm. This is unique — root channels from pegging action, not taproot depth. Excellent companion with Red Gram: Red Gram provides partial shade reducing MF3G soil sterilisation risk, Groundnut fixes P-cycle (MF27) and loosens soil.","Red Gram (shade + MF23), Castor (border, pest diversion), Bajra",Pegging biopore flag: MF16 from Groundnut is shallow (10–15cm) vs taproot crops (>60cm). Complementary to Red Gram MF16. Design rule: Groundnut+Red Gram intercrop covers both shallow and deep soil layers.
CRP0024,Agricultural,Oilseeds,Sunflower,Helianthus annuus,"MF3L,MF16,MF19,MF21,MF25,MF27","MF3L,MF13","MF2,MF12",MF3L (1–2m lower canopy band),"MF16,MF25,MF27",MF9,"Strong allelopathic properties — suppresses germination of many crops and weeds within 2–3m radius. However, allelopathic compounds decompose in 4–6 weeks after incorporation. PRODUCES MF21 (pest diversion) — highly attractive to aphids, pulling them away from main crops. Heliotropic — tracks sun, maximising light interception. Critical to place in border rows for its trap crop function, not in dense intercrop.","Castor (border), Red Gram (distant companion >3m), Maize (same-height border)",Allelopathy management flag: MF26 is active — maintain >2m spacing from legume intercrops (MF23 suppression). Incorporate residues 6+ weeks before planting N-sensitive neighbours.
CRP0025,Agricultural,Oilseeds,Castor,Ricinus communis,"MF3L,MF16,MF18,MF19,MF21,MF25",MF3L,MF2,MF3L (1–2m canopy; fast-growing border),"MF16,MF25",MF9,"Tall, fast border crop with strong allelopathic seed coat — ricin compounds in litter are potent. Deep taproot creates biopore channels (MF16). Excellent trap crop (MF21) for Helicoverpa and Spodoptera — concentrates bollworm on Castor border before it reaches cotton/tomato main crop. Border spacing critical: 1 row Castor per 8–10 rows main crop.","Cotton (border trap crop), Tomato (pest diversion), Jowar (intercrop at 1:6 ratio)",Allelopathy flag: Castor litter is strongly allelopathic. Do NOT use as mulch near legumes. Trap crop management: inspect border rows weekly — destroy Castor when pest load exceeds 10/plant.
CRP0026,Agricultural,Oilseeds,Mustard,Brassica juncea,"MF3G,MF16,MF19,MF21,MF25","MF3G,MF11,MF13","MF2,MF14",MF3G (winter; low-growing rosette then bolt),"MF16,MF25",MF10,Glucosinolate-rich root exudates have biofumigation properties — suppresses soil-borne pathogens and nematodes when incorporated as green manure. Rabi crop — MF3G winter sun does not carry summer microbiome risk. Excellent trap crop (MF21) for aphids. REQUIREs wind barrier (MF11) in AP winter conditions.,"Wheat (border), Chickpea (intercrop), Lentil",Biofumigation flag: incorporate at 30% flowering for maximum glucosinolate content. Wait 2–3 weeks before planting next crop. MF21 aphid trap value highest during flowering.
CRP0029,Agricultural,Commercial,Cotton,Gossypium hirsutum,"MF1,MF3U,MF11,MF16,MF22,MF25","MF3U,MF13","MF3G,MF3L",MF3U (2–4m canopy; upper tier only),"MF16,MF25",MF9,Deep taproot creates significant biopore network (MF16). Upper canopy sun (MF3U) means lower zones are in partial shade (MF1). PRODUCES MF22 (pest shelter) — dense bolling-stage canopy creates ideal humidity zone for bollworm and fungal diseases. This is a critical design failure in monocrop cotton. Solution: MF13 (airflow) design + MF19+MF20 (beneficial insect) companions. Castor border for MF21 (trap crop) is essential.,"Castor (border, MF21), Red Gram (MF23+MF1 companion), Cowpea (ground cover MF18)",MF22 risk flag: Cotton monoculture is high MF22 system. Mandatory companions: Castor (pest diversion) + Coriander/Marigold (MF19 beneficial insects) to counter MF22 with MF20+MF21.
CRP0031,Agricultural,Commercial,Turmeric,Curcuma longa,"MF8,MF9,MF17,MF24,MF25,MF26","MF1,MF6,MF14","MF3G,MF10,MF15",REQ: MF1 (partial shade essential),"MF17,MF24,MF26","MF8,MF9",Shade-obligate crop — REQUIRES MF1 (partial shade) to prevent leaf scorch. Cannot grow under full ground sun (MF3G). Allelopathic rhizome exudates (MF26) — curcumin derivatives inhibit soil pathogens AND neighbouring root growth. Best grown under Banana (MF1 provider) or Coconut (MF4-PAR). Produces dense leaf mulch (MF17) that feeds surface microbiome. Cooling under companion canopy RETAINS the microclimate needed for rhizome development.,"Banana (MF1+MF6 shade provider), Coconut garden, Areca + Black Pepper system",MF1 requirement is non-negotiable: Turmeric in full sun = yield failure. Design rule: MUST have canopy tree (MF1 producer) within 2m. MF26 allelopathy — do not plant adjacent to legumes without 1m buffer.
CRP0032,Agricultural,Commercial,Ginger,Zingiber officinale,"MF8,MF9,MF17,MF24,MF26,MF27","MF1,MF6,MF14","MF3G,MF10",REQ: MF1 (strong shade requirement),"MF17,MF24,MF27","MF8,MF9",Even more shade-demanding than Turmeric — requires 50–70% canopy cover (MF1 producing companion). High organic matter demand — produces dense mulch (MF17) and relies on active rhizosphere microbiome (MF27). REQUIRES MF14 (high humidity) — canopy cooling RETAINS the humid microclimate essential for rhizome bulking. Cooling under canopy is not a trap — it is the functional environment for ginger physiology.,"Areca Nut (classic companion), Banana, Coconut garden floor",Dual REQ flag: Ginger REQUIRES both MF1 (shade) AND MF14 (humidity) simultaneously. Any system design must provide both. Areca+Banana combination is the AP standard for satisfying both requirements.
CRP0034,Agricultural,Commercial,Chilli (Commercial),Capsicum annuum,"MF1,MF19,MF24","MF3G,MF13",MF2,MF1 (minor shade benefit) + MF3G requirement,"MF24,MF25",MF9,Capsaicin in fruit deters some chewing insects — minor MF21 function. REQUIREs MF13 (airflow) — one of the most airflow-dependent vegetables. Dense planting without airflow = Anthracnose and Phytophthora devastation. Companion with Onion (sulfur exudates deter thrips) and Marigold (MF19+MF20) is classical AP practice.,"Onion (pest deterrence), Marigold (MF19), Basil (aromatic repellent), Coriander (MF19)","Airflow is NON-NEGOTIABLE for Chilli. Design rule: maximum 3 rows chilli before airflow break row (Marigold, Coriander, or gap). MF13 must be maintained throughout crop cycle."
CRP0035,Agricultural,Fodder,Napier Grass,Pennisetum purpureum,"MF1,MF2,MF11,MF16,MF18,MF25","MF3U,MF8,MF13","MF3G,MF10",MF1+MF2 (dense living fence; strong shade),"MF16,MF25","MF8,MF9",Dense perennial clump creates strong wind barrier (MF11) and shade (MF1+MF2). RETAINS microclimate in shelter zone — not traps. Deep root system (MF16) creates biopore channels and erosion control (MF25). Living fence use: plant on field bund as 1.5–2m height windbreak. One row of Napier can protect 10–15m of leeward field from desiccating winds. Pollard every 60 days — biomass is excellent MF17 mulch material.,"Sesbania (bund companion, MF23), Gliricidia (mixed hedge, MF23)",Living fence design: Napier+Gliricidia combination creates wind protection (MF11) + N-fixation (MF23) in one bund structure. Pollarding schedule: every 45–60 days for biomass + maintained height.
CRP0036,Agricultural,Fodder,Hedge Lucerne (Desmanthus),Desmanthus virgatus,"MF1,MF3L,MF16,MF17,MF23,MF24,MF25,MF27","MF3L,MF13",MF2,MF1+MF3L (1–2m partial shade; hedge structure),"MF16,MF23,MF27",MF9,Perennial N-fixing fodder hedge for AP dryland systems. Produces MF1 (partial shade) as a living hedge — protects adjacent crop from MF3G solar sterilisation. BNF rate: 80–120 kg N/ha/yr. Extremely drought tolerant after establishment. Alley crop configuration: 2 rows Desmanthus per 6 rows cereal = 30% N-input replacement.,"Sorghum (alley crop), Jowar, Bajra (dryland cereals)",Alley crop flag: Desmanthus hedge provides MF1 shade + MF23 N + MF16 biopores simultaneously. Design rule: 2 hedge rows per 6 crop rows. Pollard to 50cm at crop establishment to prevent shade competition.
CRP0037,Agricultural,Fodder,Stylosanthes,Stylosanthes hamata,"MF3G,MF16,MF17,MF23,MF25,MF27","MF3G,MF13",MF2,MF3G (low ground cover; 0–0.5m),"MF16,MF23,MF27",MF9,Extremely low-input ground cover N-fixer. Colonises degraded red soils where nothing else establishes. Acts as LIVING MULCH (MF17) protecting soil microbiome from MF3G solar sterilisation. Critical for AP's degraded Alfisols — year-round soil cover in dryland systems. BNF rate: 40–80 kg N/ha/yr. Seed naturally into inter-rows of perennial crops.,"Cashew (under-canopy ground cover), Mango orchard floor, Teak plantation",Degraded soil pioneer flag: Stylosanthes is the MF3G-to-MF17 transition crop. IF soil is bare degraded Alfisol THEN establish Stylosanthes first for 1 season THEN introduce higher-value polyculture.
CRP0038,Horticultural,GLV,Spinach,Spinacia oleracea,"MF3G,MF17,MF18,MF24,MF25","MF3G,MF1,MF8","MF2,MF15",REQ MF1 (partial shade in summer),"MF17,MF24","MF8,MF9","Cool-season shade-tolerant GLV. In AP summer, REQUIREs MF1 partial shade to prevent bolting. Shade RETAINS cooler microclimate essential for leaf quality. Dense leaf canopy provides MF18 weed suppression at ground level. Companion with taller crops that produce MF1.","Tomato (MF1 provider), Drumstick (MF1 hedge), Moringa border","Seasonal flag: Rabi/winter only in AP lowlands without shade. Summer production requires MF1 companion system. Shade cooling RETAINS quality, not traps — leaf expansion better in diffused light."
CRP0039,Horticultural,GLV,Amaranth,Amaranthus hybridus,"MF3G,MF3L,MF17,MF18,MF24","MF3G,MF13",MF2,MF3G+MF3L (upright; both lower tiers),"MF17,MF24",MF9,Heat-tolerant GLV; thrives in MF7 zones where cool-season crops fail. Ground cover with dense leaf production naturally provides MF18. Rapid growth — 3–4 cuts possible per season. Excellent companion under taller crops for vertical space utilisation.,"Tomato (ground companion), Brinjal, Chilli",Heat tolerance asset: Amaranth can fill MF7 zones where other GLVs fail. Use as inter-row ground cover in Kharif vegetable systems.
CRP0040,Horticultural,GLV,Fenugreek,Trigonella foenum-graecum,"MF3G,MF16,MF17,MF23,MF24","MF3G,MF13",MF2,MF3G (low rosette canopy),"MF16,MF23,MF24",MF9,N-fixing GLV — dual role as food and soil builder. Allelopathic to some soil fungi (antifungal compounds in root exudates). Mulch after harvest provides MF17. Short cycle (45 days) allows quick N-fixation credit to next crop.,"Onion (companion), Potato (intercrop), Coriander (mixed GLV bed)",N-fixation GLV flag: BNF rate modest (20–40 kg N/ha/yr) but combined with mulch contribution makes it a high-value rotation crop. Antifungal exudates benefit solanaceous crops in rotation.
CRP0047,Horticultural,GLV,Drumstick (Moringa),Moringa oleifera,"MF1,MF3L,MF16,MF17,MF19,MF24,MF25,MF27","MF3L,MF13",MF3G,MF1+MF3L (open canopy partial shade 1–3m),"MF16,MF17,MF27",MF9,"One of the most valuable GLV/companion trees in AP. Open feathery canopy provides MF4-STR (beam scatter) and MF1 (partial shade) without blocking all light. Deep taproot (MF16) creates excellent biopore network. Leaf litter is high-N mulch (MF17; C:N ~15) — decomposes rapidly. SUPPRESSES MF3G — shade from Moringa prevents ground solar sterilisation. Grows fast (first harvest 8 months, perennial thereafter).","Tomato (shade companion), Chilli, Vegetables (hedge row), Paddy bund",Keystone GLV tree flag: Moringa as a hedgerow satisfies MF1+MF17+MF16+MF23-adjacent simultaneously. Design: plant 3–5m apart on field bund. Prune to 1.5m height for MF1 maintenance without MF2 overcast.
CRP0048,Horticultural,Creepers,Bitter Gourd,Momordica charantia,"MF1,MF3L,MF17,MF19,MF24","MF3L,MF1,MF8",MF10,MF1+MF3L (trellis canopy; 1–2m),"MF17,MF24","MF8,MF9",Trellis canopy RETAINS cool moist microclimate below — not traps. Leaf canopy on trellis creates MF1 partial shade that protects companion crops at ground level. Traditional AP intercrop: Bitter Gourd on trellis over ground-level vegetables. High medicinal and nutraceutical value — produces complex secondary metabolites requiring stable cool microclimate.,"Basil (MF19 companion below trellis), Coriander, Marigold (MF20)","Trellis microclimate design: Bitter Gourd trellis at 1.8m creates MF1 partial shade zone below — use for spinach, coriander, or basil ground layer. Airflow through trellis must be maintained — avoid MF12 stagnation."
CRP0049,Horticultural,Creepers,Snake Gourd,Trichosanthes cucumerina,"MF1,MF3L,MF19,MF24","MF3L,MF1",MF10,MF1+MF3L (trellis canopy),MF24,"MF8,MF9",Traditional AP household crop on trellis or pergola. Large leaves create effective MF1 shade zone below. High transpiration rate (MF6 co-benefit under dense planting). Good pollinator attractor (MF19) during long flowering period.,"Bitter Gourd (mixed trellis), Ridge Gourd, Basil (below trellis)",Mixed trellis design: Snake Gourd + Ridge Gourd + Bitter Gourd on same trellis = continuous harvest + combined MF1 shade effect throughout season.
CRP0050,Horticultural,Gourds,Bottle Gourd,Lagenaria siceraria,"MF1,MF3L,MF17,MF19,MF24","MF3L,MF8,MF13",MF10,MF1+MF3L (sprawling or trellis),"MF17,MF24","MF8,MF9","Large leaves create significant MF1 shade whether sprawling on ground or on trellis. Sprawling habit = excellent ground cover (MF18 weed suppression, MF8 evaporation reduction). Leaf litter after harvest provides MF17. High water content of fruit concentrates moisture in plant — evapotranspiration contributes to MF14 in immediate microzone.","Cowpea (ground companion MF23), Maize (trellis support), Basil",Ground cover mode vs trellis mode have different MF profiles. Specify in design: Ground mode → MF18 active. Trellis mode → MF1 active below. Both produce MF17 via leaf fall.
CRP0052,Horticultural,Gourds,Pumpkin,Cucurbita moschata,"MF1,MF3G,MF17,MF18,MF19,MF24","MF3G,MF8",MF10,MF1 (partial shade from large leaves) + MF3G (sprawling ground),"MF17,MF18,MF24","MF8,MF9",Classic Three Sisters companion (Maize-Bean-Pumpkin). Large leaves create BOTH ground shade (suppresses MF3G sterilisation) AND MF18 weed suppression. Sprawling habit covers maximum ground area. Leaf mulch (MF17) after season end is very high biomass. Ideal for covering inter-row space in any tall crop system.,"Maize + Cowpea (Three Sisters), Sugarcane inter-row",Three Sisters flag: Maize (vertical) + Cowpea (MF23) + Pumpkin (MF18 ground cover) is the classic multi-MF polyculture. Combined: MF1+MF23+MF18+MF17+MF16 in one planting design.
CRP0053,Horticultural,Melons,Watermelon,Citrullus lanatus,"MF3G,MF17,MF18,MF19,MF24","MF3G,MF8,MF10","MF2,MF14",MF3G (ground sprawling; large leaf cover),"MF17,MF18,MF24",MF8,Ground-sprawling MF3G crop that paradoxically SUPPRESSES MF3G sterilisation in its own row through leaf cover. Requires MF10 (dry microclimate) for fruit set — wet roots cause fungal collapse. Allelopathic to most weeds (natural weed suppressor in row). Sandy red soils (Andhra coastal plains) ideal. High irrigation demand but leaf canopy reduces evaporation between plants.,"Sesame (border row, compatible dry microclimate), Maize (windbreak border)",Dry-wet paradox: Watermelon REQUIRES well-drained dry soil (MF10) but needs regular irrigation. The plant manages its own microclimate — leaf cover reduces soil evaporation but fruit zone must drain freely.
CRP0057,Horticultural,Melons,Muskmelon,Cucumis melo,"MF3G,MF17,MF19,MF24","MF3G,MF8,MF10","MF2,MF14",MF3G (ground sprawling),"MF17,MF24",MF8,"Similar MF profile to Watermelon — dry microclimate essential. Highly aromatic flowers are excellent MF19 (pollinator attractor). Companion with Basil improves pollinator visits and may reduce pest pressure. Sandy loam soils of Krishna, Godavari coastal AP are ideal.","Basil (aromatic companion, MF19 enhancement), Marigold",Pollinator dependency flag: Muskmelon has poor fruit set without adequate MF19 (pollinator zone). Design: 1 Marigold/Basil plant per 5 Muskmelon plants as pollinator corridor.
CRP0058,Horticultural,Solanaceae,Tomato,Solanum lycopersicum,"MF1,MF19,MF24","MF3G,MF13","MF2,MF12",MF1 (minor shade from foliage) + MF3G requirement,"MF24,MF25",MF9,REQUIRES MF13 (airflow) — most airflow-sensitive vegetable in AP. Dense planting without airflow = Early Blight and Late Blight devastation. REQUIREs MF3G (full ground sun) for fruiting but benefits from minor MF1 (partial leaf shade) in peak summer. ALLELOPATHIC to fennel — never plant together. Companion with Basil (aromatic pest deterrent) and Marigold (MF19+MF20) is the most validated AP combination.,"Basil (essential aromatic companion), Marigold (MF19+MF20), Onion (thrips deterrence), Coriander",Airflow NON-NEGOTIABLE: Minimum 60cm between rows for MF13. Design rule: every 3rd row = Marigold or Basil break row for MF13 maintenance + MF19 benefit.
