"Sensitivity to Bio Index (Low, Medium, High)",Medium,Low,Low
"Sensitivity to Pest Pressure (Low, Medium, High)",High,High,High
"Sensitivity to Earthworms Count (Low, Medium, High)",Medium,Medium,Medium
"Sensitivity to Slope (Low, Medium, High)",Medium,Medium,Medium
"Sensitivity to Flood Risk (Low, Medium, High)",High,High,High
"Sensitivity to Drought Risk (Low, Medium, High)",High,Low,Low
"Sensitivity to Calcium (Low, Medium, High)",Low,High,Very High
"Sensitivity to Bulk Density (Low, Medium, High)",High,Low,Low
Threshold Level of Nitrogen Kg/ha (Range),150-200,30-60,20-40
Threshold Level of Phosphorus Kg/ha (Range),60-80,40-60,30-50
Threshold Level of Potassium Kg/ha (Range),40-60,20-40,20-30
Threshold Level of Organic Carbon % (Range),0.8 - 1.5%,0.6 - 1.2%,0.4 - 0.8%
Threshold Level of pH (Range),5.0 - 8.0,5.5 - 8.5,4.5 - 7.5
Threshold Level of Electrical Conductivity ds/m (Range),< 1.5 ds/m,< 2.0 ds/m,< 1.2 ds/m
"Soil Texture (Clay,Loam,SandyLoam,Sandy,RedSoil,BlackCotton)","Loam, SandyLoam, RedSoil, BlackCotton","Loam, ClayLoam, RedSoil, BlackCotton","RedSoil, SandyLoam, Gravelly Soils"
Effective rooting depth,60 - 150 cm,60 - 120 cm,30 - 60 cm
Threshold Level of Water Holding Capacity % (Range),45 - 65%,40 - 60%,30 - 50%
"Suitability to Compact soils (Low, Moderate, High)",Low,Moderate,High
"Preferred drainage situation (Poor, Moderate, Good, Excessive)",Good,Good,Good
"Crop suitability under erosion-risk soils (low, moderate, high)",low,moderate,high
Threshold level of Groundwater Depth meters (Range),> 1.5 m,> 1.5 m,> 1.0 m
"Irrigation requirement (None, Protective, Assured)",Assured,Protective,None
"Rain Reliability (Low, Medium, High)",High,Medium,Low
Threshold Level of Temperature °C (Range),25 - 35 °C,22 - 35 °C,20 - 32 °C
"Number of consecutive heat days crop can tolerate (i.e., temp >40°C)",5+ days,7+ days,7+ days
"Crop suitability under frost risk (Low, Moderate, High)",Low,Low,Low
Threshold level of wind speed kmph (Range),< 30 kmph,< 25 kmph,< 25 kmph
"Required Biological Index i.e.,Soil microbiome activity (Low,Medium,High)",High,Medium,Low
"Pest Pressure Tolerance (Low,Medium,High,VeryHigh)",High,Medium,Medium
Preferred slope % (Range),0 - 15%,0 - 10%,0 - 20%
"Crop suitability to Flood Risk Soils (low, Medium, high)",low,low,low
"Crop suitability to Drought Risk Soils (low, Medium, high)",Medium,High,High
Threshold level of Calcium meq/100g (Range),5 - 10,2 - 5,2 - 4
Threshold level of Bulk Density g/cc (Range),1.2 - 1.4,1.3 - 1.6,1.4 - 1.7
"Mention 5 Major Pests and Severity (Low, Medium, High)","Grasshoppers (Medium), Stem Borer (Medium), Aphids (Low), Whitefly (Low), Mealybug (Low)","Psyllids (Medium), Aphids (Low), Leaf Hopper (Low), Pod Borer (Low), Grasshoppers (Low)","Webworm (Low), Aphids (Low), Grasshoppers (Low), Termites (Low), Leaf Hopper (Low)"
"Mention 5 Major Diseases and Severity (Low, Medium, High)","Helminthosporium Leaf Spot (Medium), Smut (Low), Root Rot (Low), Pythium (Low), Rust (Low)","Root Rot (Medium), Powdery Mildew (Low), Leaf Spot (Low), Anthracnose (Low), Mosaic Virus (Low)","Anthracnose (High), Root Rot (Medium), Leaf Spot (Low), Head Blight (Low), Wilt (Low)"
Is trap Crop for,No,No,No
Nutrient (Mineral) Deficiencies and Their Associated Syndrome,"N: Pale green leaves, slow regrowth; P: Stunted clumps; K: Yellowing of leaf tips","N: General chlorosis (if nodules fail); P: Stunted growth, dark foliage; Ca: Growing point death",P: Purple-red stems/leaves; N: Pale leaves; S: Yellowing of young leaves
